ID,Area,Capability,Actor,Story,Expected behavior from code,Interface / entrypoint,Source,Test method,Status,Defects,Defect type,Actual result,Notes / open questions
SQL-005,SQLite storage,Newest-first listing and limits,Internal library consumer,As a storage consumer I want deterministic recent-entry retrieval.,ListEntries delegates to SearchEntries with no filter; complete composite keys order by signed seconds then nanoseconds descending; corrupt or partial keys sort last; limit>0 bounds rows and limit<=0 is unlimited; empty results return nil.,SqliteStore.ListEntries(limit),"internal/storage/store.go:ListEntries,SearchEntries",Real mixed-format/cross-offset/range ordering and limit tests,Verified,-,-,Loop 2 post-fix tests ordered years 1600/2026/2500/3000 and one-nanosecond distinctions correctly; partial/corrupt keys remained visible after complete keys; full storage and race suites exited 0.,Equal complete instants and partial-key rows have no secondary ordering guarantee.
SQL-006,SQLite storage,FTS5 text search,Internal library consumer,As a storage consumer I want fast SQLite full-text search.,"A nonempty Text joins entries_fts and passes the text directly to FTS5 MATCH, searching indexed message and serialized tags; results are newest-first and FTS syntax errors are returned as wrapped query errors.","SqliteStore.SearchEntries(&SearchFilter{Text:...},limit)",internal/storage/store.go:SearchEntries,Real SQLite FTS integration test,Verified,-,-,Loop 2 re-test: current real-SQLite targeted and package race suites exited 0 after the transactional normalized-instant migration.,"Semantics are token/query based, not substring based."
SQL-007,SQLite storage,Tag and date filtering,Internal library consumer,As a storage consumer I want tag/date constraints composable with text search.,"Since and Until compare signed Unix seconds then nanoseconds inclusively and require both components; corrupt/partial keys are excluded. Each tag is parameterized through json_each exact membership only for valid JSON arrays; tags OR together while date/tag groups AND with text; results are newest-first.","SqliteStore.SearchEntries(filter,limit)",internal/storage/store.go:SearchEntries,Real mixed-format/range date and exact-tag matrix,Verified,-,-,"Loop 2 post-fix public CLI returned no rows for future Since/past Until and returned only the valid alpha array row while malformed, scalar, and object tag cells neither errored nor matched; targeted storage/race matrices passed.",Composite components fix UnixNano overflow; JSON type guarding preserves exact array membership without trusting corrupt persisted containers.
SQL-008,SQLite storage,Corrupt and nullable row behavior,Internal library consumer,As an operator I want malformed or legacy-null stored fields handled predictably.,"GetEntry errors on unparseable timestamp/tag JSON. List/Search substitute time.Now for invalid timestamp and nil for invalid, scalar, or object tags; unparseable legacy/direct-SQL rows whose composite keys are NULL keep those NULL keys, sort last, and are excluded from date filters. Nullable hostname/username/working_directory/tags scan to Go zero values.",SqliteStore.GetEntry; ListEntries; SearchEntries,"internal/storage/store.go:GetEntry,SearchEntries,scanEntry,parseTimestamp",Real direct-SQL corruption/null/partial-key matrix,Verified,-,-,"Loop 2 post-fix: public exact-tag search survived malformed, scalar, and object cells and returned only the valid array match; direct-SQL tests preserved nil tag fallback, excluded partial keys from date bounds, and sorted them after complete keys.",The List/Search time.Now substitution is caller-only and is never persisted as an invented instant; corrupt tag containers are nonmatching under exact-tag filters.
SQL-009,SQLite storage,Maintenance and lifecycle,Operator/internal consumer,"As an operator I want modification tracking, optimization, reset, and closure.",LastModified starts at construction and changes after successful create/update/delete/reset; Vacuum runs SQLite VACUUM; Reset deletes all entries and FTS triggers clear index; Close closes the database.,SqliteStore.LastModified; Vacuum; Reset; Close,internal/storage/store.go,Real SQLite integration test,Verified,-,-,Loop 2 re-test: current real-SQLite targeted and package race suites exited 0 after the transactional normalized-instant migration.,Vacuum does not update LastModified.
SQL-010,SQLite storage,Concurrent WAL access,Internal library consumer,As a storage consumer I want multiple connections to coexist without immediate lock failures.,Every constructor installs PRAGMA busy_timeout=5000 before changing journal_mode to WAL and enabling foreign keys so concurrent initialization waits for the database lock.,multiple storage.NewSqliteStore(file path) handles,internal/storage/store.go:NewSqliteStore; internal/storage/integration_test.go:TestWALConcurrentConnections,Repeated real concurrent SQLite integration test,Verified,-,-,Loop 1 re-test: go test -count=50 -run '^TestWALConcurrentConnections$' ./internal/storage exited 0 twice independently.,Fix root cause: install SQLite busy timeout before the lock-taking journal-mode pragma.
SQL-011,SQLite storage,Legacy default database path helper,Internal library consumer,As a storage consumer I want an XDG-aware default SQLite path.,"DefaultPath returns $XDG_DATA_HOME/chronicle/chronicle.db when set; otherwise it joins $HOME/.local/share/chronicle/chronicle.db. If both variables are empty, the result is relative.",storage.DefaultPath(),internal/storage/store.go:DefaultPath,Environment-isolated Go unit test,Verified,-,-,Loop 2 re-test: current real-SQLite targeted and package race suites exited 0 after the transactional normalized-instant migration.,"This helper is not used by Config.OpenStorage, which has separate XDG logic."
SQL-012,SQLite storage,Concurrent modification timestamp access,Internal library consumer,As a concurrent consumer I want LastModified observation free of memory races.,SqliteStore guards lastModified with an RWMutex; successful create/update/delete/reset mutations take the write lock and LastModified takes the read lock.,SqliteStore CRUD/Reset/LastModified,"internal/storage/store.go:SqliteStore,markModified,LastModified",Targeted race-detector test with concurrent CRUD and LastModified,Verified,-,-,Loop 1 re-test: TestSqliteConcurrentCRUDAndLastModified passed under -race; full go test -race -count=1 ./... exited 0.,Fix root cause: synchronize the single modification timestamp rather than duplicating state.
MD-001,Markdown storage,Store creation and date layout,Internal library consumer,As a storage consumer I want a human-readable filesystem backend.,NewMarkdownStore ensures dataDir exists. Entries live under YYYY/MM/DD and use '<slug>-<64-character-lowercase-SHA-256-of-full-ID>.md'; slug uses at most five words and 60 bytes before mdstore slugification.,storage.NewMarkdownStore(dataDir); CreateEntry,"internal/storage/markdown.go:NewMarkdownStore,entryDirPath,entryFileName,entryIDFileComponent,truncateForSlug",Real-filesystem layout/collision/long-ID integration tests,Verified,-,-,"Loop 1 re-test: real filesystem tests passed for date layout, shared-prefix and case-folding IDs, long custom IDs, and exact digest filename expectations.",Byte truncation can split multibyte UTF-8 before slugification; current tests cover ASCII slug boundaries.
MD-002,Markdown storage,Entry file format,Operator/internal consumer,As an operator I want entries stored in inspectable Markdown with metadata.,"Each file has YAML frontmatter id, mdstore timestamp preserving the supplied numeric UTC offset, optional hostname/username/working_directory/tags, followed by a blank line and message body; reads trim surrounding body whitespace.",Markdown entry .md files,"internal/storage/markdown.go:entryFrontmatter,renderEntry,parseEntryFile",Real file-format and non-UTC round-trip tests,Verified,-,-,Loop 1 re-test: full frontmatter round trip and UTC+14 create/read/update passed with the instant and numeric offset preserved.,Leading/trailing message whitespace and named timezone identity are not preserved after read.
MD-003,Markdown storage,Create and retrieve entries,Internal library consumer,As a storage consumer I want atomically written Markdown entries with stable IDs.,"CreateEntry supplies missing UUID/time, renders the file, and writes under a data-directory lock using AtomicWrite. For caller-supplied IDs, it strictly scans every Markdown file inside that lock: a matching full ID returns entry already exists, while traversal/read/parse uncertainty fails closed before writing. GetEntry retains tolerant full-digest and legacy first-eight-ID lookup and verifies complete frontmatter IDs.",MarkdownStore.CreateEntry; GetEntry,"internal/storage/markdown.go:CreateEntry,checkEntryIDAvailable,GetEntry,findEntryFile",Real-filesystem duplicate/fail-closed/concurrent/legacy matrix,Verified,-,-,"Phase A post-fix: same-path and different-date/slug duplicates rejected without overwrite or new files; malformed/unreadable stores failed closed; 20 race-enabled concurrent runs produced exactly one success and one duplicate-specific rejection; storage/race and Windows/Linux compile gates passed.",Generated UUIDs skip the supplied-ID uniqueness scan; existing externally created duplicate files remain readable with first-walk-match behavior. Tolerant Get/List behavior is unchanged.
MD-004,Markdown storage,Update and move entries,Internal library consumer,As a storage consumer I want edits reflected in both content and date/slug path.,"UpdateEntry resolves the current file inside the data-directory lock. Same-path updates use AtomicWrite. Path-changing updates sync a destination-directory temporary file, publish it exclusively with a hard link so an unexpected destination is never overwritten, remove the old path, and roll back the destination if source removal fails. Only successful updates clean empty directories and refresh LastModified.",MarkdownStore.UpdateEntry(entry),"internal/storage/markdown.go:UpdateEntry,moveEntryFile,cleanEmptyDirs",Real-filesystem same-path/conflict/rollback/race matrix,Verified,-,-,"Pre-commit post-fix: destination conflicts preserved both files and returned error; real Unix source-removal failure rolled back the destination and retained original bytes/path; same-path bytes changed atomically; concurrent update/update and update/delete race matrices passed ten repetitions.",Path-changing updates fail safely on filesystems without hard-link support. Directory metadata is not fsynced for sudden power-loss durability.
MD-005,Markdown storage,Delete entries and clean directories,Internal library consumer,As a storage consumer I want deletion to remove the file and empty date directories.,"DeleteEntry locates ID, removes its file under lock, prunes empty parents up to dataDir, refreshes LastModified, and returns not-found/read/remove errors.",MarkdownStore.DeleteEntry(id),"internal/storage/markdown.go:DeleteEntry,cleanEmptyDirs",Real-filesystem integration test,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,Empty-directory cleanup errors are ignored.
MD-006,Markdown storage,Newest-first listing and limits,Internal library consumer,As a storage consumer I want recent Markdown entries sorted consistently.,"List/Search walk all .md files, skip malformed ones, filter, sort timestamp descending, and apply limit>0; absent results return a nil slice.",MarkdownStore.ListEntries; SearchEntries,"internal/storage/markdown.go:ListEntries,SearchEntries,loadAllEntries",Real-filesystem integration test,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,Filesystem walk errors for individual paths are intentionally skipped.
MD-007,Markdown storage,Substring text search,Internal library consumer,As a storage consumer I want forgiving text search over Markdown data.,Text matching is case-insensitive substring containment over message or tags joined with spaces.,"MarkdownStore.SearchEntries(&SearchFilter{Text:...},limit)",internal/storage/markdown.go:matchesFilter,Real-filesystem search test,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,This intentionally differs from SQLite FTS token/query semantics.
MD-008,Markdown storage,Tag and date filtering,Internal library consumer,As a storage consumer I want exact tags and inclusive time bounds.,"Since and Until are inclusive. Any exact, case-sensitive requested tag matches (OR); tag/date groups AND with text.","MarkdownStore.SearchEntries(filter,limit)",internal/storage/markdown.go:matchesFilter,Real-filesystem filter matrix,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,Equal bounds include exact timestamps.
MD-009,Markdown storage,Malformed-file tolerance,Operator/internal consumer,As an operator I want one malformed file not to block all reads.,"Directory scans silently skip .md files lacking valid frontmatter, YAML, or timestamps; direct GetEntry may skip malformed candidates and eventually return not found.",MarkdownStore.ListEntries; SearchEntries; GetEntry,"internal/storage/markdown.go:parseEntryFile,loadAllEntries,findEntryFile",Real-filesystem corruption scenario,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,"No warning identifies ignored data, an implemented observability limitation."
MD-010,Markdown storage,Concurrent operations and locking,Internal library consumer,As a storage consumer I want file operations serialized safely.,Create/update/delete/reset acquire mdstore.WithLock rooted at dataDir before mutation-dependent lookup and keep lookup plus mutation in one cross-process critical section; same-path writes use AtomicWrite and path moves publish exclusively with rollback. An RWMutex protects lastModified writes and reads.,MarkdownStore CRUD/Reset/LastModified,"internal/storage/markdown.go; internal/storage/markdown_test.go; internal/storage/markdown_unix_test.go",Real concurrent filesystem integration test with race detector,Verified,-,-,Pre-commit post-fix: repeated same-ID update/update and update/delete tests produced state-consistent outcomes with no persistent duplicate or resurrection; conflict/rollback/not-found cases left LastModified unchanged; full storage race suite passed.,Readers do not take the filesystem lock and may briefly observe both names during a successful cross-path link/remove interval; external writers that ignore mdstore locking remain outside the guarantee.
MD-011,Markdown storage,"Maintenance, reset, and lifecycle",Operator/internal consumer,As an operator I want reset and lifecycle calls with filesystem-appropriate behavior.,Vacuum and Close are no-ops returning nil. Reset removes every dataDir child except '.lock' under lock and refreshes LastModified; LastModified also changes after successful CRUD.,MarkdownStore.LastModified; Vacuum; Reset; Close,internal/storage/markdown.go,Real-filesystem integration test,Verified,-,-,Loop 2 re-test: current real-filesystem Markdown targeted and package race suites exited 0.,Reset removes unrelated files placed inside dataDir.
MD-012,Markdown storage,Filename identity collision resistance,Internal library consumer,As a storage consumer I want distinct full IDs to map to distinct portable filenames.,"Filenames contain a fixed 64-character lowercase SHA-256 digest of the full ID after the message slug; frontmatter retains and verifies the full ID. Lookup also recognizes legacy first-eight-ID filenames.",MarkdownStore.CreateEntry/GetEntry,"internal/storage/markdown.go:entryFileName,entryIDFileComponent,findEntryFile",Real-filesystem collision/case-fold/long-ID scenarios,Verified,-,-,"Loop 1 re-test: distinct shared-prefix IDs, case-folding base64 regression IDs, long custom IDs, legacy reads, and slug expectations all passed on the real filesystem.",Fresh review caught mixed-case base64 and NAME_MAX regressions in the first fix; lowercase fixed-length digest addresses both.
MD-013,Markdown storage,Timestamp-location directory stability,Internal library consumer,As a storage consumer I want entry paths and timestamps stable across read/update round trips.,Create/update chooses YYYY/MM/DD from the supplied timestamp location and frontmatter preserves that numeric offset; reads and later updates therefore retain the original local date directory and instant.,MarkdownStore.CreateEntry; GetEntry; UpdateEntry,"internal/storage/markdown.go:entryDirPath,renderEntry,parseEntryFile,UpdateEntry",Real timezone-boundary read/update scenario,Verified,-,-,Loop 1 re-test: TestMarkdownNonUTCTimestampStaysInOriginalDateDirectory passed and preserved the UTC+14 offset and original directory after update.,Named timezone identity is not serialized; the numeric offset required for path stability is preserved.
MIG-001,Data migration,Cross-backend copy,Operator/internal consumer,As an operator I want entries copied between interchangeable backends.,"MigrateData lists all source entries without limit, creates each in destination preserving supplied IDs/timestamps/metadata, and returns the successful count.","storage.MigrateData(src,dst)",internal/storage/migrate.go:MigrateData,Real SQLite↔Markdown offset/nanosecond round-trip tests,Verified,-,-,Loop 2 re-test: both directions and round trips passed; Markdown→SQLite preserved a non-UTC numeric offset and nanoseconds and remained readable through normalized instant storage.,Destination is expected empty but the function does not enforce it.
MIG-002,Data migration,Partial-failure reporting,Operator/internal consumer,As an operator I want migration failure tied to the affected entry.,"Source list errors are wrapped; destination creation stops on first failure with the entry ID, returns no summary, and leaves previously copied entries in place.","storage.MigrateData(src,dst)",internal/storage/migrate.go:MigrateData,Targeted real-store failure scenario,Verified,-,-,Loop 2 re-test: current real-store partial-failure and cross-backend migration tests exited 0 under the race detector.,No rollback or resume marker exists.
EXP-001,Export library,Versioned YAML export,Library/automation consumer,As an automation consumer I want a structured YAML backup.,"ToYAML emits version '1.0', current RFC3339 exported_at, tool 'chronicle', and entries preserving input order with RFC3339 timestamps and optional metadata omitted when empty.",export.ToYAML(entries),"internal/export/export.go:ToYAML,buildExportData",Go serializer test with YAML parse,Verified,-,-,Loop 2 re-test: current serializer parse/golden tests and export package race suite exited 0.,Empty entries encode as entries: [].
EXP-002,Export library,Versioned JSON export,Library/automation consumer,As an automation consumer I want a structured JSON backup.,ToJSON emits indented JSON with the same versioned envelope and input-order entries as YAML.,export.ToJSON(entries),"internal/export/export.go:ToJSON,buildExportData",Go serializer test with JSON parse,Verified,-,-,Loop 2 re-test: current serializer parse/golden tests and export package race suite exited 0.,Serializer output has no final newline.
EXP-003,Export library,Chronological Markdown export,Human reader,As a human reader I want a browsable Markdown activity report.,"ToMarkdown adds title, current RFC3339 Generated line, divider, groups dates descending, sorts entries descending within each day, and renders time/message/ID plus nonempty metadata. Empty input says 'No entries to export.'",export.ToMarkdown(entries),internal/export/export.go:ToMarkdown,Go serializer full-document golden test,Verified,-,-,Loop 1 re-test: full Markdown document matched exact expected bytes after parsing/normalizing only the dynamic RFC3339 generated timestamp; full race suite passed.,It sorts per-date copies but shares backing entry slices created by appends.
LOG-001,Project logs,Daily Markdown append,Project contributor,As a contributor I want a readable daily project log.,"WriteProjectLog rejects zero timestamp, creates cleaned logDir, chooses local-date YYYY-MM-DD.log, and for markdown or unknown format appends heading time/message, optional tags, user@host, directory, and a blank line.","logging.WriteProjectLog(logDir,format,entry)","internal/logging/project.go:WriteProjectLog,formatMarkdown",Real-filesystem exact-byte append test,Verified,-,-,Loop 1 re-test: existing byte-exact project-log test and real CLI project logging passed after behavior-preserving formatted-write rewrites; full race suite passed.,Unknown formats silently fall back to markdown.
LOG-002,Project logs,Daily JSON-lines append,Project contributor,As a contributor I want project entries available as line-delimited JSON.,"With format json, each full logging.Entry is marshaled to one JSON line and appended to the local-date .log file.","logging.WriteProjectLog(logDir,'json',entry)",internal/logging/project.go:WriteProjectLog,Real-filesystem JSONL parse test,Verified,-,-,"Loop 2 re-test: current real-filesystem JSONL, append, mode, and error tests plus logging package race suite exited 0.",File extension remains .log.
LOG-003,Project logs,Append semantics and errors,Project contributor,As a contributor I want multiple entries retained and filesystem failures surfaced.,"Files open with append/create/write flags and requested mode 0644, so same-day writes accumulate; zero timestamp plus directory creation, open, marshal, and write failures are returned.",logging.WriteProjectLog(...) repeated,internal/logging/project.go:WriteProjectLog,Real-filesystem and subprocess error-path tests,Verified,-,-,"Loop 2 post-fix evidence: append, exact 0644 under controlled zero umask, zero timestamp, MkdirAll, OpenFile, year-10000 JSON marshal, and post-open EFBIG WriteString cases passed on Darwin; race count=5 passed, and Linux/Windows test binaries compiled.",The real write failure uses subprocess-isolated RLIMIT_FSIZE/SIGXFSZ with no mocks. Concurrent process writes have no explicit lock.
MCP-001,MCP server,"Server identity, registrations, and stdio lifecycle",AI client,As an MCP client I want a discoverable Chronicle server over standard transport.,"NewServer loads configured storage and creates MCP implementation name chronicle version 0.3.0 with six tools, four resources, and one prompt. Run serves stdio and closes storage on exit.",chronicle mcp; mcp.NewServer().Run(ctx),internal/mcp/server.go; internal/mcp/tools.go; internal/mcp/resources.go; internal/mcp/prompts.go,Real MCP SDK client over stdio,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,No explicit capabilities options are passed to the SDK constructor.
MCP-002,MCP tools,add_entry,AI client,As an AI client I want to persist a timestamped activity with optional tags.,"add_entry accepts required-schema message and optional tags, captures host/USER/cwd with 'unknown' fallbacks, creates an entry, re-reads it for formatted timestamp, and returns structured entry_id/message/timestamp plus success text. Handler/storage errors are transported by the SDK as tool results with isError=true; re-read errors only yield timestamp 'unknown'.",MCP tool add_entry,"internal/mcp/tools.go:AddEntryInput,handleAddEntry; github.com/modelcontextprotocol/go-sdk/mcp server error handling",Real MCP tool call against real local store including an induced storage error,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,The handler does not reject an empty string message.
MCP-003,MCP tools,list_entries,AI client,As an AI client I want recent activity with full metadata.,"list_entries defaults limit 0 to 10, otherwise passes the supplied integer, returns newest entries mapped to formatted strings and a count, plus text 'Retrieved N recent entries'; its registered description promises only recent activity and does not imply calendar-day filtering.",MCP tool list_entries,"internal/mcp/tools.go:ListEntriesInput,registerTools,handleListEntries",Real MCP tools/list and tool call against seeded local store,Verified,-,-,Loop 1 re-test: real tools/list exposed the recent-activity description without a today claim; handler/tool-call tests and MCP race suite passed.,Negative limits are effectively unlimited in both stores.
MCP-004,MCP tools,search_entries text and tags,AI client,As an AI client I want search results by text and tags.,"search_entries defaults limit 0 to 20, applies only Text and Tags to SearchFilter, returns mapped entries/count, and text 'Found N matching entries'.",MCP tool search_entries,"internal/mcp/tools.go:SearchEntriesInput,handleSearchEntries",Real MCP tool filter matrix,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,Since and Until are exposed in JSON schema but not parsed or applied.
MCP-005,MCP tools,search_entries compatibility date fields,AI client,As an AI client I want to know how accepted date fields actually behave.,"The input accepts since and until compatibility strings but its schema and tool description explicitly say they are currently ignored; handleSearchEntries applies only text, tags, and limit.","MCP tool search_entries {since,until}","internal/mcp/tools.go:SearchEntriesInput,registerTools,handleSearchEntries",Real MCP differential call plus tools/list schema assertion,Verified,-,-,Loop 1 re-test: real differential behavior remained unchanged and live tools/list contract checks confirmed both date fields and the tool description disclose that they are ignored.,Implementing date semantics remains a future product decision rather than an advertised current capability.
MCP-006,MCP tools,remember_this smart logging,AI client,As an AI client I want an activity and context logged with inferred tags.,"remember_this builds 'activity (context)' when context is nonempty, assigns every matching keyword tag in fixed order deployment, bug-fix, decision, learning, testing, or default work, then delegates to add_entry.",MCP tool remember_this,"internal/mcp/tools.go:RememberThisInput,suggestTags,handleRememberThis",Real MCP tool call and persisted-entry inspection,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,Keyword checks are case-insensitive substrings and may yield multiple tags.
MCP-007,MCP tools,what_was_i_doing summary,AI client,As an AI client I want a narrative of recent work.,"The tool searches the 20 most recent entries, builds 'Based on N recent entries:' followed by timestamp/message and optional tags, returns that summary and entries, while reusing search_entries's text result content.",MCP tool what_was_i_doing,internal/mcp/tools.go:handleWhatWasIDoing,Real MCP tool call against seeded local store,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,"The CallToolResult text says 'Found N matching entries', not the narrative summary."
MCP-008,MCP tools,what_was_i_doing compatibility timeframe,AI client,As an AI client I want to know how timeframe input affects recall.,"The accepted timeframe string is explicitly documented as ignored; today, yesterday, this week, last N hours, invalid values, and empty input all return the same 20 most recent entries.",MCP tool what_was_i_doing {timeframe},"internal/mcp/tools.go:WhatWasIDoingInput,registerTools,handleWhatWasIDoing",Real MCP differential calls plus tools/list schema assertion,Verified,-,-,Loop 1 re-test: real timeframe differential behavior remained unchanged and live schema/tool-description checks disclose the ignored field and 20-entry behavior.,Implementing timeframe parsing remains a future product decision rather than an advertised current capability.
MCP-009,MCP tools,find_when_i,AI client,As an AI client I want to locate when a described activity occurred.,find_when_i delegates What as search_entries Text with limit 10 and returns its entries/count and 'Found N matching entries' result.,MCP tool find_when_i,"internal/mcp/tools.go:FindWhenIInput,handleFindWhenI",Real MCP tool call against seeded local store,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,SQLite FTS query syntax versus markdown substring semantics apply.
MCP-010,MCP resources,Recent activity resource,AI client,As an AI client I want the ten latest raw entries as a resource.,"chronicle://recent-activity returns one application/json content item containing indented JSON for ListEntries(10), or a wrapped list error.",MCP resource chronicle://recent-activity,internal/mcp/resources.go:handleRecentActivity,Real MCP resource read,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,"Payload uses storage.Entry JSON keys, unlike tool EntryData's directory key; an empty store serializes as null rather than []."
MCP-011,MCP resources,Tag-count resource,AI client,As an AI client I want tag usage counts.,"chronicle://tags lists all entries, counts every tag occurrence into a map, and returns indented application/json; its registered description advertises a count map rather than semantic ordering.",MCP resource chronicle://tags,internal/mcp/resources.go:handleTags; registerResources,Real MCP discovery/read against seeded store,Verified,-,-,Loop 1 re-test: actual registered-resource discovery returned 'Tag usage counts keyed by tag'; handler count-map tests and MCP race suite passed.,JSON object key order is not a semantic frequency sort.
MCP-012,MCP resources,Today's summary resource,AI client,As an AI client I want today's activities in Markdown.,"chronicle://today-summary filters inclusively from local midnight through one nanosecond before the next local midnight, calculated with AddDate for DST-safe calendar bounds, then returns text/markdown timestamp/message bullets newest-first or 'No entries logged today yet.'",MCP resource chronicle://today-summary,internal/mcp/resources.go:handleTodaySummary,Real MCP resource read with controlled boundary timestamps,Verified,-,-,Loop 1 re-test: yesterday and tomorrow boundaries were excluded; first and last instants of today were included; empty and populated output plus registered description passed under MCP/full race suites.,The live-clock test has a theoretical midnight-rollover window; production uses DST-safe local calendar arithmetic.
MCP-013,MCP resources,Project-context resource,AI client,As an AI client I want current project logging context.,"chronicle://project-context inspects cwd ancestry. Without .chronicle it returns has_project_config false and an explanatory message; a valid .chronicle TOML file returns root, parsed config, and success message; malformed TOML retains the discovered root and reports the parse failure without config.",MCP resource chronicle://project-context,internal/mcp/resources.go:handleProjectContext,Real MCP resource read from configured/unconfigured/malformed trees,Verified,-,-,Loop 1 re-test: production-shaped .chronicle file from a nested directory parsed strictly; no-config and malformed-file payloads passed; actual descriptor promises only root/configuration.,Fresh review removed the prior silent malformed-config failure; recent project logs are not part of this resource.
MCP-014,MCP prompts,Getting-started prompt,AI client,As an AI client I want usage guidance supplied by the server.,chronicle-getting-started returns one user-role text message describing recent-activity logging/recall and accurately states that storage location/sharing/synchronization depend on configured local storage; it avoids unsupported day-filter examples and instructs clients not to assume setup.,MCP prompt chronicle-getting-started,internal/mcp/prompts.go:registerPrompts,Real registered MCP prompt retrieval,Verified,-,-,Loop 1 re-test: actual prompts/get contains 'what did I do recently?' and configured-storage guidance with no yesterday/Charm Cloud/automatic-sync/preconfigured-user claims.,Tests retrieve the production handler rather than duplicating its content.
MCP-015,MCP protocol,Tool error transport,AI client,As an MCP client I want to distinguish invalid calls from tool execution failures.,The typed MCP SDK converts ordinary handler/storage errors into a successful JSON-RPC tools/call response whose result has isError=true and error text content. Schema decoding or invalid arguments become protocol invalid-params errors instead.,MCP tools/call for any registered tool,github.com/modelcontextprotocol/go-sdk/mcp server call handling; internal/mcp/tools.go handlers,Real MCP protocol calls inducing schema and storage failures,Verified,-,-,Loop 2 re-test: fresh real stdio MCP initialize/discovery/tool/resource/error matrix exited 0 with empty stderr and clean EOF; the MCP race suite passed.,Direct handler tests do not exercise this external transport distinction.
DEV-001,Developer workflow,Make help,Developer,As a developer I want discoverable build targets.,"Default make target prints Chronicle title and descriptions for build, test, install, clean, lint, fmt, run-mcp, dev-db, and release.",make; make help,Makefile:help,Make target execution,Verified,-,-,Loop 2 re-test: disposable current-worktree Make execution exercised this target successfully with real artifacts/services and cleaned all temporary state.,"Help omits test-coverage, dev, integration-test, and ci targets."
DEV-002,Developer workflow,Build and install,Developer/operator,As a developer I want local build and Go binary installation workflows.,"make build runs 'go build -o chronicle .' and reports the binary. make install runs 'go install .' and reports GOBIN/chronicle when configured, otherwise the first GOPATH entry's bin/chronicle path.",make build; make install,"Makefile:build,install,INSTALL_DIR",Make target execution with temporary GOBIN/multi-GOPATH plus binary help,Verified,-,-,Loop 1 re-test: temporary GOBIN received an executable Chronicle whose --help passed and the message reported its exact path; unset GOBIN with two GOPATH entries reported the first entry/bin.,Build overwrites an existing root binary.
DEV-003,Developer workflow,Unit/integration test target,Developer,As a developer I want the repository Go suite run verbosely.,"make test runs 'go test -v ./...' across all packages, including tests named integration that use real SQLite/filesystem dependencies.",make test,Makefile:test; internal/**/*_test.go,Make target execution with exit/output capture,Verified,-,-,"Loop 1 re-test: make test exited 0 with all packages passing; the formerly flaky WAL test also passed 50 consecutive runs twice independently.",No build tags separate unit from integration tests.
DEV-004,Developer workflow,Coverage report generation,Developer,As a developer I want package coverage artifacts.,"make test-coverage runs atomic coverage across ./..., writes coverage.out, renders coverage.html, and reports its path.",make test-coverage,Makefile:test-coverage,Make target execution and artifact validation,Verified,-,-,Loop 2 re-test: disposable current-worktree Make execution exercised this target successfully with real artifacts/services and cleaned all temporary state.,Generated artifacts are gitignored.
DEV-005,Developer workflow,Format and lint,Developer,As a developer I want standard formatting and configured static checks.,make fmt runs go fmt ./...; make lint runs golangci-lint with a 10-minute timeout and the repository v2 configuration.,make fmt; make lint,"Makefile:fmt,lint; .golangci.yml",Format check/diff plus uncapped linter execution,Verified,-,-,"Loop 1 re-test: make lint exited 0 with '0 issues'; uncapped golangci also exited 0; gofmt -l returned no files.",Uncapped verification prevents the default per-linter issue limit from hiding repeated findings.
DEV-006,Developer workflow,Clean artifacts,Developer,As a developer I want generated build/release/coverage artifacts removed.,"make clean removes root chronicle, coverage.out, coverage.html, and dist recursively, then reports completion.",make clean,Makefile:clean,Sandboxed copy or static command verification,Verified,-,-,Loop 2 re-test: disposable current-worktree Make execution exercised this target successfully with real artifacts/services and cleaned all temporary state.,Destructive within known generated paths; not needed to verify product behavior in this checkout.
